#vertex distance parent
354 20.0242 352
355 19.8799 352
356 20.244 352
357 20.419 352
358 15.8331 712
359 19.9277 534
360 19.2326 361
361 16.7698 1537
362 21.762 360
363 18.1846 2086
364 20.378 363
365 18.4363 366
366 15.2557 2562
367 21.2935 119
368 24.7746 367
369 32.6305 370
370 30.6166 623
371 28.9566 372
372 27.029 2443
373 18.9891 205
374 12.7709 378
375 19.5616 1140
376 15.6512 374
377 15.6512 374
378 10.5863 850
379 16.953 381
380 19.1376 379
381 14.6145 698
382 30.2658 1224
383 20.1336 379
384 -1 -1
385 -1 -1
386 21.8211 77
387 22.756 578
388 -1 -1
389 21.8599 393
390 22.2711 1588
391 24.1274 389
392 23.6559 389
393 19.5925 1787
394 24.602 389
395 20.4211 293
396 -1 -1
397 18.8298 430
398 35.7163 399
399 33.7702 2226
400 25.1826 401
401 22.3024 209
402 20.8392 403
403 18.8499 922
404 20.9123 487
405 22.8286 402
406 19.4763 709
407 19.4089 590
408 19.4337 409
409 17.2403 470
410 24.5031 411
411 21.022 977
412 21.3743 2378
413 18.8382 314
414 20.1337 415
415 18.095 1868
416 18.5729 417
417 16.4872 189
418 15.0517 1276
419 17.4567 418
420 15.107 927
421 25.1826 401
422 20.8649 423
423 17.3838 627
424 15.1962 7
425 19.4337 409
426 17.0786 427
427 15.0791 899
428 21.4994 397
429 21.4994 397
430 16.6344 113
431 21.4994 397
432 -1 -1
433 -1 -1
434 -1 -1
435 21.172 781
436 35.7163 399
437 18.6428 439
438 19.9493 126
439 16.5088 1060
440 17.7279 979
441 20.9969 437
442 15.1962 7
443 22.1469 444
444 19.7245 760
445 -1 -1
446 20.7852 1439
447 22.4671 448
448 20.5526 1416
449 13.5065 450
450 11.2643 1835
451 16.1148 449
452 18.5713 26
453 18.5713 26
454 18.2714 26
455 17.1076 113
456 19.4337 409
457 19.4337 409
458 19.1363 409
459 19.4337 409
460 19.1363 409
461 -1 -1
462 19.1363 409
463 19.4337 409
464 19.1363 409
465 19.4337 409
466 17.6319 418
467 19.4337 409
468 19.4337 409
469 19.1363 409
470 15.3443 506
471 19.1363 409
472 19.1363 409
473 21.6031 474
474 18.7227 579
475 -1 -1
476 -1 -1
477 16.7466 480
478 15.4312 721
479 18.0264 1062
480 14.8025 506
481 20.7806 482
482 16.999 1554
483 25.5893 165
484 23.172 80
485 18.9241 102
486 18.519 439
487 18.9229 820
488 -1 -1
489 24.5029 490
490 21.3222 380
491 24.6766 492
492 22.6627 2300
493 19.8303 494
494 17.3467 1461
495 25.1708 496
496 21.8655 300
497 25.1708 496
498 26.7718 499
499 24.463 667
500 21.8687 117
501 24.0754 297
502 23.7764 297
503 19.6617 1885
504 23.7764 297
505 23.1603 448
506 12.464 1450
507 20.4519 508
508 18.4625 1369
509 19.3978 1115
510 23.98 2273
511 20.9976 295
512 22.6189 513
513 19.3136 661
514 -1 -1
515 -1 -1
516 26.5587 517
517 23.854 1505
518 29.7394 516
519 22.544 150
520 21.3463 1326
521 8.56392 523
522 11.0478 521
523 6.47533 3
524 10.9514 521
525 19.6813 526
526 16.5974 1110
527 22.4392 528
528 19.7348 753
529 17.0786 427
530 -1 -1
531 14.8996 7
532 16.9872 531
533 21.5842 534
534 18.7041 1201
535 16.3034 538
536 18.286 535
537 19.1835 535
538 14.3712 583
539 18.8836 535
540 23.6303 284
541 15.7243 201
542 18.7293 541
543 18.3325 541
544 25.483 545
545 22.1776 170
546 17.1076 113
547 17.1076 113
548 17.1076 113
549 17.1076 113
550 16.416 113
551 16.8087 113
552 12.8334 1450
553 17.1076 113
554 14.7025 168
555 17.1076 113
556 17.1076 113
557 23.6146 446
558 26.9199 557
559 26.9199 557
560 -1 -1
561 -1 -1
562 21.8632 2239
563 22.0093 1346
564 -1 -1
565 -1 -1
566 24.6766 492
567 -1 -1
568 -1 -1
569 22.3519 170
570 21.4349 937
571 19.7421 972
572 18.1795 573
573 16.1692 1033
574 20.235 572
575 18.2893 861
576 19.7355 2480
577 18.5731 28
578 20.8135 577
579 16.1423 581
580 19.323 579
581 13.4375 1779
582 15.3211 583
583 12.2373 639
584 22.3299 588
585 25.4138 584
586 21.1861 772
587 24.9382 584
588 20.0212 1324
589 21.975 1557
590 17.2749 593
591 19.6112 2116
