#vertex distance parent
357 20.9394 352
358 16.3535 126
359 19.9607 1885
360 19.2326 361
361 16.7698 1537
362 21.762 360
363 -1 -1
364 -1 -1
365 -1 -1
366 -1 -1
367 20.8107 119
368 24.2918 367
369 -1 -1
370 -1 -1
371 -1 -1
372 -1 -1
373 18.9891 205
374 12.7709 378
375 14.8625 1312
376 15.6512 374
377 15.6512 374
378 10.5863 850
379 16.953 381
380 19.1376 379
381 14.6145 698
382 19.8334 379
383 20.1336 379
384 -1 -1
385 -1 -1
386 22.514 77
387 20.7105 578
388 25.6947 386
389 21.7801 390
390 19.5127 153
391 20.9739 1244
392 22.2145 1364
393 19.5925 1787
394 24.5222 389
395 16.5791 293
396 21.4994 397
397 18.8298 430
398 -1 -1
399 -1 -1
400 26.0624 401
401 23.1823 209
402 13.0783 405
403 15.0677 402
404 15.0677 402
405 11.089 2203
406 14.8743 402
407 15.2123 402
408 21.378 409
409 19.1846 472
410 -1 -1
411 -1 -1
412 -1 -1
413 18.8382 314
414 17.3205 150
415 18.095 1868
416 -1 -1
417 -1 -1
418 15.0517 1276
419 17.4567 418
420 15.107 927
421 26.0624 401
422 20.8649 423
423 17.3838 627
424 17.122 7
425 21.378 409
426 -1 -1
427 -1 -1
428 21.4994 397
429 21.4994 397
430 16.6344 113
431 21.4994 397
432 -1 -1
433 -1 -1
434 21.5174 435
435 18.0363 781
436 -1 -1
437 15.3151 55
438 16.2576 126
439 13.3731 1127
440 17.449 437
441 17.6692 437
442 17.122 7
443 18.273 444
444 15.8506 2389
445 24.0905 446
446 20.7852 1439
447 19.2189 448
448 17.3045 1796
449 16.5088 450
450 14.2666 695
451 18.7115 26
452 19.1867 26
453 19.1867 26
454 18.8868 26
455 17.1076 113
456 21.378 409
457 21.378 409
458 21.0806 409
459 21.378 409
460 19.6879 153
461 21.378 409
462 21.0806 409
463 21.378 409
464 20.4431 107
465 21.378 409
466 17.6319 418
467 21.378 409
468 21.378 409
469 21.0806 409
470 18.7865 506
471 21.0806 409
472 17.2886 1274
473 18.3885 474
474 15.5081 579
475 -1 -1
476 -1 -1
477 15.5118 480
478 17.3485 477
479 17.3988 477
480 13.5676 1334
481 -1 -1
482 -1 -1
483 25.7803 484
484 23.172 80
485 18.5664 438
486 15.1913 55
487 16.6703 406
488 24.871 117
489 24.5029 490
490 21.3222 380
491 -1 -1
492 -1 -1
493 19.8303 494
494 17.3467 1461
495 -1 -1
496 -1 -1
497 -1 -1
498 29.7402 499
499 27.4315 667
500 24.871 117
501 18.82 297
502 18.5209 297
503 18.2234 297
504 14.1087 1081
505 19.9122 448
506 15.9061 480
507 16.9915 510
508 17.9887 1369
509 19.3978 1115
510 14.653 1097
511 16.5218 675
512 20.174 513
513 16.8687 661
514 -1 -1
515 -1 -1
516 23.6378 517
517 20.9331 1977
518 26.8185 516
519 17.1471 150
520 19.4557 519
521 8.56392 523
522 11.0478 521
523 6.47533 3
524 10.9514 521
525 19.6813 526
526 16.5974 1110
527 22.4392 528
528 19.7348 753
529 -1 -1
530 -1 -1
531 16.8254 7
532 18.913 531
533 20.0622 534
534 17.182 1201
535 15.7092 538
536 17.6918 535
537 18.5893 535
538 13.777 633
539 18.2894 535
540 19.8592 284
541 15.7243 201
542 18.7293 541
543 18.3325 541
544 21.709 545
545 18.4037 170
546 17.1076 113
547 17.1076 113
548 17.1076 113
549 17.1076 113
550 16.416 113
551 16.8087 113
552 12.8334 1450
553 17.1076 113
554 14.7025 168
555 17.1076 113
556 17.1076 113
557 23.6146 446
558 26.9199 557
559 26.9199 557
560 -1 -1
561 -1 -1
562 24.2753 563
563 21.1914 1346
564 -1 -1
565 -1 -1
566 -1 -1
567 -1 -1
568 -1 -1
569 18.5779 170
570 16.6128 728
571 18.6364 972
572 17.1579 418
573 16.1692 1033
574 19.2135 572
575 20.1628 572
576 19.0239 572
577 21.0083 578
578 18.7679 1827
579 12.9277 190
580 16.1084 579
581 13.4375 1779
582 15.3211 583
583 12.2373 639
584 20.8079 588
585 23.8917 584
586 21.1861 772
587 23.4161 584
588 18.4991 1324
589 21.975 1557
590 17.3462 407
591 19.5637 2116
592 19.4018 590
593 18.4406 1664
594 -1 -1
595 -1 -1
596 20.5719 536
597 20.272 536
598 20.272 536
599 16.4739 601
600 17.1064 1162
601 13.7691 919
602 19.0033 599
603 19.0033 599
604 15.3164 1968
605 19.1787 599
606 -1 -1
607 -1 -1
608 19.6913 609
609 16.8109 887
610 23.1724 608
611 20.5386 211
612 20.5386 211
613 19.8857 1555
614 20.2384 211
615 17.8256 616
616 15.4394 1958
617 18.2462 618
618 15.86 2216
619 -1 -1
620 -1 -1
621 16.8573 622
622 14.4711 1534
623 -1 -1
624 -1 -1
625 21.2829 626
626 18.6454 683
627 14.979 700
628 19.9159 162
629 19.9159 162
630 -1 -1
631 -1 -1
632 -1 -1
633 11.9404 639
634 10.7673 1449
635 14.424 633
636 13.8274 633
637 14.424 633
638 10.8412 783
639 10.1487 783
640 18.9707 12
