Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    10382     0.00     0.00  std::pair<int, double>* std::__relocate_a<std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> > >(std::pair<int, double>*, std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> >&)
  0.00      0.00     0.00    10382     0.00     0.00  std::pair<int, double>* std::__relocate_a_1<std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> > >(std::pair<int, double>*, std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> >&)
  0.00      0.00     0.00    10242     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00    10024     0.00     0.00  std::pair<int, double>&& std::forward<std::pair<int, double> >(std::remove_reference<std::pair<int, double> >::type&)
  0.00      0.00     0.00     8472     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00     8190     0.00     0.00  std::tuple<int, int, double>&& std::forward<std::tuple<int, int, double> >(std::remove_reference<std::tuple<int, int, double> >::type&)
  0.00      0.00     0.00     8172     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00     7809     0.00     0.00  std::_Vector_base<std::pair<int, double>, std::allocator<std::pair<int, double> > >::_M_deallocate(std::pair<int, double>*, unsigned long)
  0.00      0.00     0.00     7808     0.00     0.00  std::_Vector_base<std::pair<int, double>, std::allocator<std::pair<int, double> > >::_M_allocate(unsigned long)
  0.00      0.00     0.00     7500     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00     7149     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.00     0.00     6970     0.00     0.00  std::vector<std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >, std::allocator<std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > >::operator[](unsigned long)
  0.00      0.00     0.00     6828     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00     6828     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00     6489     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::difference_type __gnu_cxx::operator-<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >(__gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > const&)
  0.00      0.00     0.00     6470     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, double> >::construct<std::pair<int, double>, int&, double&>(std::pair<int, double>*, int&, double&)
  0.00      0.00     0.00     6470     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator-(long) const
